item,target,command,seeds,scope
Table 2,table_02,bash scripts/tables/table_02_three_seed.sh,"0,1,2",CNN classification ablation
Table 3,table_03,bash scripts/tables/table_03_three_seed.sh,"0,1,2",CNN classification
Table 4,table_04,bash scripts/tables/table_04_three_seed.sh,"0,1,2",CNN classification
Table 5,table_05,bash scripts/tables/table_05_three_seed.sh,"0,1,2",CNN classification
Table 6,table_06,bash scripts/tables/table_06_three_seed.sh,"0,1,2",CNN classification
Table 7,table_07,bash scripts/tables/table_07_three_seed.sh,"0,1,2",CNN classification
Table 8,table_08,bash scripts/tables/table_08_three_seed.sh,"0,1,2",CNN classification
Table 9,table_09,bash scripts/tables/table_09_three_seed.sh,"0,1,2",CNN classification
Table 10,table_10,bash scripts/tables/table_10_three_seed.sh,"0,1,2",CNN classification
Table 11,table_11,bash scripts/tables/table_11_three_seed.sh,"0,1,2",CNN classification
Table 12,table_12,bash scripts/tables/table_12_three_seed.sh,"0,1,2",CNN classification
Table 13,table_13,bash scripts/tables/table_13_three_seed.sh,"0,1,2",CNN classification
Tables 14-15,table_14_15,bash scripts/tables/table_14_15_three_seed.sh,"0,1,2",CNN classification and efficiency
Tables 18-19,table_18_19,bash scripts/tables/table_18_19_three_seed.sh,"0,1,2",CNN classification and efficiency
Figure 1,figure_01,bash scripts/figures/figure_01_three_seed.sh,"0,1,2",CNN convergence
Figure 2,deterministic,bash scripts/figures/figure_02_deterministic.sh,N/A,Mathematical plot
Figure 3,deterministic,bash scripts/figures/figure_03_deterministic.sh,N/A,CNN architecture diagram
Figure 4,figure_04,bash scripts/figures/figure_04_three_seed.sh,"0,1,2",CNN accuracy-parameter trade-off
